,date,T,H,J
0,2021-01-01 00:00,1.3,90.0,0.0
1,2021-01-01 00:30,1.3,90.0,0.0
2,2021-01-01 01:00,1.3,90.0,0.0
3,2021-01-01 01:30,1.2,89.0,0.0
4,2021-01-01 02:00,1.2,88.0,0.0
5,2021-01-01 02:30,1.1,88.0,0.0
6,2021-01-01 03:00,1.0,88.0,0.0
7,2021-01-01 03:30,0.9,88.0,0.0
8,2021-01-01 04:00,0.8,87.0,0.0
9,2021-01-01 04:30,0.8,87.0,0.0
10,2021-01-01 05:00,0.7,87.0,0.0
11,2021-01-01 05:30,0.5,87.0,0.0
12,2021-01-01 06:00,0.1,87.0,0.0
13,2021-01-01 06:30,-0.1,87.0,0.0
14,2021-01-01 07:00,-0.8,89.0,0.0
15,2021-01-01 07:30,-1.3,91.0,0.0
16,2021-01-01 08:00,-1.6,92.0,6.0
17,2021-01-01 08:30,-1.5,93.0,34.0
18,2021-01-01 09:00,0.0,90.0,110.0
19,2021-01-01 09:30,0.9,82.0,168.0
20,2021-01-01 10:00,1.4,77.0,225.0
21,2021-01-01 10:30,1.7,75.0,271.0
22,2021-01-01 11:00,2.2,72.0,257.0
23,2021-01-01 11:30,1.9,72.0,197.0
24,2021-01-01 12:00,1.1,76.0,161.0
25,2021-01-01 12:30,1.4,75.0,162.0
26,2021-01-01 13:00,1.4,75.0,134.0
27,2021-01-01 13:30,1.5,76.0,106.0
28,2021-01-01 14:00,1.7,74.0,108.0
29,2021-01-01 14:30,2.1,75.0,170.0
30,2021-01-01 15:00,2.7,72.0,186.0
31,2021-01-01 15:30,2.3,74.0,65.0
32,2021-01-01 16:00,1.6,78.0,32.0
33,2021-01-01 16:30,1.1,80.0,7.0
34,2021-01-01 17:00,0.3,84.0,0.0
35,2021-01-01 17:30,-0.3,87.0,0.0
36,2021-01-01 18:00,-0.7,90.0,0.0
37,2021-01-01 18:30,-0.8,91.0,0.0
38,2021-01-01 19:00,-0.6,92.0,0.0
39,2021-01-01 19:30,-0.5,92.0,0.0
40,2021-01-01 20:00,-0.7,92.0,0.0
41,2021-01-01 20:30,-0.6,93.0,0.0
42,2021-01-01 21:00,-0.8,93.0,0.0
43,2021-01-01 21:30,-0.8,93.0,0.0
44,2021-01-01 22:00,-0.4,94.0,0.0
45,2021-01-01 22:30,-0.3,94.0,0.0
46,2021-01-01 23:00,-0.1,94.0,0.0
47,2021-01-01 23:30,0.0,94.0,0.0
48,2021-01-02 00:00,0.1,94.0,0.0
49,2021-01-02 00:30,0.1,94.0,0.0
50,2021-01-02 01:00,0.1,94.0,0.0
51,2021-01-02 01:30,0.0,94.0,0.0
52,2021-01-02 02:00,0.1,94.0,0.0
53,2021-01-02 02:30,0.1,94.0,0.0
54,2021-01-02 03:00,0.2,94.0,0.0
55,2021-01-02 03:30,0.1,94.0,0.0
56,2021-01-02 04:00,0.0,93.0,0.0
57,2021-01-02 04:30,0.0,93.0,0.0
58,2021-01-02 05:00,0.0,93.0,0.0
59,2021-01-02 05:30,0.1,93.0,0.0
60,2021-01-02 06:00,0.2,93.0,0.0
61,2021-01-02 06:30,0.2,93.0,0.0
62,2021-01-02 07:00,0.2,93.0,0.0
63,2021-01-02 07:30,0.3,93.0,0.0
64,2021-01-02 08:00,0.3,93.0,1.0
65,2021-01-02 08:30,0.3,93.0,5.0
66,2021-01-02 09:00,0.4,93.0,12.0
67,2021-01-02 09:30,0.4,93.0,21.0
68,2021-01-02 10:00,0.5,94.0,32.0
69,2021-01-02 10:30,0.7,94.0,50.0
70,2021-01-02 11:00,0.9,94.0,54.0
71,2021-01-02 11:30,1.0,94.0,68.0
72,2021-01-02 12:00,1.1,94.0,66.0
73,2021-01-02 12:30,1.3,93.0,66.0
74,2021-01-02 13:00,1.5,93.0,87.0
75,2021-01-02 13:30,1.5,93.0,37.0
76,2021-01-02 14:00,1.5,93.0,43.0
77,2021-01-02 14:30,1.6,93.0,35.0
78,2021-01-02 15:00,1.6,94.0,21.0
79,2021-01-02 15:30,1.5,94.0,10.0
80,2021-01-02 16:00,1.5,94.0,6.0
81,2021-01-02 16:30,1.6,94.0,2.0
82,2021-01-02 17:00,2.1,95.0,1.0
83,2021-01-02 17:30,4.2,92.0,0.0
84,2021-01-02 18:00,4.3,87.0,0.0
85,2021-01-02 18:30,4.1,88.0,0.0
86,2021-01-02 19:00,4.0,89.0,0.0
87,2021-01-02 19:30,3.9,89.0,0.0
88,2021-01-02 20:00,4.1,87.0,0.0
89,2021-01-02 20:30,4.1,87.0,0.0
90,2021-01-02 21:00,4.2,86.0,0.0
91,2021-01-02 21:30,4.1,87.0,0.0
92,2021-01-02 22:00,4.3,87.0,0.0
93,2021-01-02 22:30,4.1,86.0,0.0
94,2021-01-02 23:00,3.8,89.0,0.0
95,2021-01-02 23:30,3.7,90.0,0.0
96,2021-01-03 00:00,3.6,91.0,0.0
97,2021-01-03 00:30,3.7,91.0,0.0
98,2021-01-03 01:00,3.8,90.0,0.0
99,2021-01-03 01:30,3.6,91.0,0.0
100,2021-01-03 02:00,3.4,92.0,0.0
101,2021-01-03 02:30,3.3,92.0,0.0
102,2021-01-03 03:00,3.0,92.0,0.0
103,2021-01-03 03:30,2.8,92.0,0.0
104,2021-01-03 04:00,2.7,93.0,0.0
105,2021-01-03 04:30,2.6,93.0,0.0
106,2021-01-03 05:00,2.4,94.0,0.0
107,2021-01-03 05:30,2.2,94.0,0.0
108,2021-01-03 06:00,2.0,94.0,0.0
109,2021-01-03 06:30,1.9,95.0,0.0
110,2021-01-03 07:00,2.0,95.0,0.0
111,2021-01-03 07:30,2.1,95.0,0.0
112,2021-01-03 08:00,2.1,95.0,2.0
113,2021-01-03 08:30,2.1,95.0,8.0
114,2021-01-03 09:00,2.2,95.0,13.0
115,2021-01-03 09:30,2.2,95.0,24.0
116,2021-01-03 10:00,2.3,95.0,47.0
117,2021-01-03 10:30,2.4,94.0,59.0
118,2021-01-03 11:00,2.7,94.0,73.0
119,2021-01-03 11:30,3.1,94.0,106.0
120,2021-01-03 12:00,3.6,93.0,109.0
121,2021-01-03 12:30,3.8,91.0,93.0
122,2021-01-03 13:00,3.8,89.0,76.0
123,2021-01-03 13:30,3.7,88.0,103.0
124,2021-01-03 14:00,4.0,86.0,84.0
125,2021-01-03 14:30,3.8,86.0,56.0
126,2021-01-03 15:00,3.8,86.0,37.0
127,2021-01-03 15:30,3.5,86.0,24.0
128,2021-01-03 16:00,3.3,87.0,16.0
129,2021-01-03 16:30,3.1,88.0,3.0
130,2021-01-03 17:00,2.9,90.0,0.0
131,2021-01-03 17:30,2.8,90.0,0.0
132,2021-01-03 18:00,2.7,91.0,0.0
133,2021-01-03 18:30,2.7,91.0,0.0
134,2021-01-03 19:00,2.6,91.0,0.0
135,2021-01-03 19:30,2.5,92.0,0.0
136,2021-01-03 20:00,2.4,92.0,0.0
137,2021-01-03 20:30,2.4,92.0,0.0
138,2021-01-03 21:00,2.3,92.0,0.0
139,2021-01-03 21:30,2.3,92.0,0.0
140,2021-01-03 22:00,2.3,91.0,0.0
141,2021-01-03 22:30,2.4,90.0,0.0
142,2021-01-03 23:00,2.4,90.0,0.0
143,2021-01-03 23:30,2.3,90.0,0.0
144,2021-01-04 00:00,2.3,91.0,0.0
145,2021-01-04 00:30,2.2,92.0,0.0
146,2021-01-04 01:00,2.2,92.0,0.0
147,2021-01-04 01:30,2.1,92.0,0.0
148,2021-01-04 02:00,2.0,92.0,0.0
149,2021-01-04 02:30,2.0,92.0,0.0
150,2021-01-04 03:00,2.0,92.0,0.0
151,2021-01-04 03:30,1.9,92.0,0.0
