date,time,T,J
2021-01-01,00:00,1.3,0.0
2021-01-01,01:00,1.25,0.0
2021-01-01,02:00,1.15,0.0
2021-01-01,03:00,0.95,0.0
2021-01-01,04:00,0.8,0.0
2021-01-01,05:00,0.6,0.0
2021-01-01,06:00,0.0,0.0
2021-01-01,07:00,-1.05,0.0
2021-01-01,08:00,-1.55,20.0
2021-01-01,09:00,0.45,139.0
2021-01-01,10:00,1.5499999999999998,248.0
2021-01-01,11:00,2.05,227.0
2021-01-01,12:00,1.25,161.5
2021-01-01,13:00,1.45,120.0
2021-01-01,14:00,1.9,139.0
2021-01-01,15:00,2.5,125.5
2021-01-01,16:00,1.35,19.5
2021-01-01,17:00,0.0,0.0
2021-01-01,18:00,-0.75,0.0
2021-01-01,19:00,-0.55,0.0
2021-01-01,20:00,-0.6499999999999999,0.0
2021-01-01,21:00,-0.8,0.0
2021-01-01,22:00,-0.35,0.0
2021-01-01,23:00,-0.05,0.0
2021-01-02,00:00,0.1,0.0
2021-01-02,01:00,0.05,0.0
2021-01-02,02:00,0.1,0.0
2021-01-02,03:00,0.15000000000000002,0.0
2021-01-02,04:00,0.0,0.0
2021-01-02,05:00,0.05,0.0
2021-01-02,06:00,0.2,0.0
2021-01-02,07:00,0.25,0.0
2021-01-02,08:00,0.3,3.0
2021-01-02,09:00,0.4,16.5
2021-01-02,10:00,0.6,41.0
2021-01-02,11:00,0.95,61.0
2021-01-02,12:00,1.2000000000000002,66.0
2021-01-02,13:00,1.5,62.0
2021-01-02,14:00,1.55,39.0
2021-01-02,15:00,1.55,15.5
2021-01-02,16:00,1.55,4.0
2021-01-02,17:00,3.1500000000000004,0.5
2021-01-02,18:00,4.199999999999999,0.0
2021-01-02,19:00,3.95,0.0
2021-01-02,20:00,4.1,0.0
2021-01-02,21:00,4.15,0.0
2021-01-02,22:00,4.199999999999999,0.0
2021-01-02,23:00,3.75,0.0
2021-01-03,00:00,3.6500000000000004,0.0
2021-01-03,01:00,3.7,0.0
2021-01-03,02:00,3.3499999999999996,0.0
2021-01-03,03:00,2.9,0.0
2021-01-03,04:00,2.6500000000000004,0.0
2021-01-03,05:00,2.3,0.0
2021-01-03,06:00,1.95,0.0
2021-01-03,07:00,2.05,0.0
2021-01-03,08:00,2.1,5.0
2021-01-03,09:00,2.2,18.5
2021-01-03,10:00,2.3499999999999996,53.0
2021-01-03,11:00,2.9000000000000004,89.5
2021-01-03,12:00,3.7,101.0
2021-01-03,13:00,3.75,89.5
2021-01-03,14:00,3.9,70.0
2021-01-03,15:00,3.65,30.5
2021-01-03,16:00,3.2,9.5
2021-01-03,17:00,2.8499999999999996,0.0
2021-01-03,18:00,2.7,0.0
2021-01-03,19:00,2.55,0.0
2021-01-03,20:00,2.4,0.0
2021-01-03,21:00,2.3,0.0
2021-01-03,22:00,2.3499999999999996,0.0
2021-01-03,23:00,2.3499999999999996,0.0
2021-01-04,00:00,2.25,0.0
2021-01-04,01:00,2.1500000000000004,0.0
2021-01-04,02:00,2.0,0.0
2021-01-04,03:00,1.95,0.0
2021-01-04,04:00,1.9,0.0
2021-01-04,05:00,1.85,0.0
2021-01-04,06:00,1.75,0.0
2021-01-04,07:00,1.7,0.0
2021-01-04,08:00,1.8,4.5
2021-01-04,09:00,1.75,22.5
2021-01-04,10:00,2.2,109.0
2021-01-04,11:00,3.2,168.5
2021-01-04,12:00,3.55,126.5
2021-01-04,13:00,3.5,96.0
2021-01-04,14:00,3.4,50.0
2021-01-04,15:00,3.1,19.0
2021-01-04,16:00,2.6,7.5
2021-01-04,17:00,2.25,0.0
2021-01-04,18:00,2.1,0.0
2021-01-04,19:00,1.95,0.0
2021-01-04,20:00,1.8,0.0
2021-01-04,21:00,1.8,0.0
2021-01-04,22:00,1.8,0.0
